GEO_ID,NAME,Median_12month_HH_Income,B19013_001MarginOfError
1400000US06037237202,"Census Tract 2372.02, Los Angeles County, California",35733,6939
1400000US06059075504,"Census Tract 755.04, Orange County, California",71707,7064
1400000US06073003109,"Census Tract 31.09, San Diego County, California",88601,6758
1400000US06085507600,"Census Tract 5076, Santa Clara County, California",215042,41296
1400000US06001444602,"Census Tract 4446.02, Alameda County, California",117132,15594
1400000US06037121222,"Census Tract 1212.22, Los Angeles County, California",48883,10209
1400000US06067008207,"Census Tract 82.07, Sacramento County, California",81449,7575
1400000US06073010009,"Census Tract 100.09, San Diego County, California",45269,4610
1400000US06071000113,"Census Tract 1.13, San Bernardino County, California",74187,13051
1400000US06007002700,"Census Tract 27, Butte County, California",49099,6688
1400000US06037600801,"Census Tract 6008.01, Los Angeles County, California",86331,20905
